id,date_period,global_liquidity_tn$,monthly_change_gl,quarterly_change_gl,annual_change_gl,shadow_monetary_base_tn$,monthly_change_smb,annual_change_smb,quarterly_change_smb,monthly_change_gl_smb,quarterly_change_gl_smb,annual_change_gl_smb,monthly_change_gl_%,quarterly_change_gl_%,annual_change_gl_%,monthly_change_smb_%,quarterly_change_smb_%,annual_change_smb_%,monthly_change_gl_smb_%,quarterly_change_gl_smb_%,annual_change_gl_smb_%,collactural_multiplier
25,01/01/2012,99.59,1.3800000000000097,NULL,NULL,64.18,0.8700000000000045,NULL,NULL,2.2500000000000284,NULL,NULL,1,NULL,NULL,1.3741904912336196,NULL,NULL,1.3930163447251291,NULL,NULL,
26,01/02/2012,100.57,0.9799999999999898,NULL,NULL,62.83,-1.3500000000000085,NULL,NULL,-0.37000000000003297,NULL,NULL,0,NULL,NULL,-2.103459021502039,NULL,NULL,-0.22592660438421744,NULL,NULL,
27,01/03/2012,101.01,0.44000000000001194,2.8000000000000114,NULL,64.26,1.4300000000000068,NULL,0.9500000000000028,1.870000000000033,3.7500000000000284,NULL,0,2,NULL,2.2759828107592024,1.5005528352550983,NULL,1.1444308445532638,2.3216939078752037,NULL,
28,01/04/2012,101.45,0.4399999999999977,NULL,NULL,64.43,0.1700000000000017,NULL,NULL,0.6099999999999852,NULL,NULL,0,NULL,NULL,0.2645502645502672,NULL,NULL,0.36909299933441353,NULL,NULL,
29,01/05/2012,98.36,-3.0900000000000034,NULL,NULL,63.73,-0.70000000000001,NULL,NULL,-3.789999999999992,NULL,NULL,-3,NULL,NULL,-1.0864504112990996,NULL,NULL,-2.2847841813359007,NULL,NULL,
30,01/06/2012,99.79,1.4300000000000068,-1.2199999999999989,NULL,63.98,0.25,NULL,-0.28000000000000824,1.6800000000000068,-1.5,NULL,1,-1,NULL,0.39227993095873215,-0.43572984749456617,NULL,1.0364612252452383,-0.9076057360682519,NULL,
31,01/07/2012,99.46,-0.3300000000000125,NULL,NULL,64.31,0.3300000000000054,NULL,NULL,-0.00000000000002842170943040401,NULL,NULL,0,NULL,NULL,0.5157861831822529,NULL,NULL,-0.000000000000017354649465960802,NULL,NULL,
32,01/08/2012,100.46,1,NULL,NULL,65.11,0.7999999999999972,NULL,NULL,1.8000000000000114,NULL,NULL,1,NULL,NULL,1.2439744985227759,NULL,NULL,1.0991023997069131,NULL,NULL,
33,01/09/2012,102.04,1.5800000000000125,2.25,NULL,65.62,0.5100000000000051,NULL,1.6400000000000077,2.090000000000032,3.890000000000015,NULL,1,2,NULL,0.7832898172323839,2.5633010315723785,NULL,1.2623059733043618,2.3752824082554893,NULL,
34,01/10/2012,102.36,0.3199999999999932,NULL,NULL,65.42,-0.20000000000000284,NULL,NULL,0.11999999999997613,NULL,NULL,0,NULL,NULL,-0.3047851264858318,NULL,NULL,0.07157342240246696,NULL,NULL,
35,01/11/2012,102.55,0.18999999999999773,NULL,NULL,65.27,-0.15000000000000568,NULL,NULL,0.03999999999999204,NULL,NULL,0,NULL,NULL,-0.22928767960869104,NULL,NULL,0.023840743831202788,NULL,NULL,
36,01/12/2012,103.35,0.7999999999999972,1.309999999999988,5.140000000000001,65.27,0,1.9599999999999937,-0.3500000000000085,0.8000000000000114,0.9599999999999795,7.100000000000023,0,1,5,0,-0.533373971350211,3.095877428526289,0.4767012275056676,0.5725873792198374,4.395740465577033,
37,01/01/2013,103.81,0.46000000000000796,NULL,NULL,63.83,-1.4399999999999977,NULL,NULL,-0.9800000000000182,NULL,NULL,0,NULL,NULL,-2.2062203156120694,NULL,NULL,-0.581188471118502,NULL,NULL,
38,01/02/2013,102.41,-1.4000000000000057,NULL,NULL,64.20,0.37000000000000455,NULL,NULL,-1.0299999999999727,NULL,NULL,-1,NULL,NULL,0.5796647344508923,NULL,NULL,-0.6144118348842595,NULL,NULL,
39,01/03/2013,102.16,-0.25,-1.1899999999999977,NULL,63.22,-0.980000000000004,NULL,-2.049999999999997,-1.2300000000000182,-3.240000000000009,NULL,0,-1,NULL,-1.5264797507788224,-3.1407997548644055,NULL,-0.7382510053418271,-1.9214802514529765,NULL,
40,01/04/2013,102.57,0.4099999999999966,NULL,NULL,64.11,0.8900000000000006,NULL,NULL,1.3000000000000114,NULL,NULL,0,NULL,NULL,1.4077823473584317,NULL,NULL,0.7860684484218233,NULL,NULL,
41,01/05/2013,102.61,0.04000000000000625,NULL,NULL,63.72,-0.39000000000000057,NULL,NULL,-0.35000000000002274,NULL,NULL,0,NULL,NULL,-0.6083294337856817,NULL,NULL,-0.20998320134390613,NULL,NULL,
42,01/06/2013,102.99,0.37999999999999545,0.8299999999999983,NULL,64.19,0.46999999999999886,NULL,0.9699999999999989,0.8500000000000227,1.8000000000000114,NULL,0,0,NULL,0.7376020087884477,1.53432458082885,NULL,0.5110322852161503,1.088402467045599,NULL,
43,01/07/2013,104.01,1.0200000000000102,NULL,NULL,64.30,0.10999999999999943,NULL,NULL,1.1299999999999955,NULL,NULL,0,NULL,NULL,0.17136625642623374,NULL,NULL,0.6759181720301444,NULL,NULL,
44,01/08/2013,104.07,0.05999999999998806,NULL,NULL,64.73,0.4300000000000068,NULL,NULL,0.4900000000000091,NULL,NULL,0,NULL,NULL,0.6687402799378023,NULL,NULL,0.29112946348999413,NULL,NULL,
45,01/09/2013,106.12,2.0500000000000114,3.1300000000000097,NULL,64.04,-0.6899999999999977,NULL,-0.14999999999999147,1.3600000000000136,2.980000000000018,NULL,1,3,NULL,-1.0659663216437474,-0.23368125876303392,NULL,0.8056872037914772,1.7825098696016377,NULL,
46,01/10/2013,106.66,0.539999999999992,NULL,NULL,64.98,0.9399999999999977,NULL,NULL,1.4799999999999613,NULL,NULL,0,NULL,NULL,1.4678326046221075,NULL,NULL,0.8697696285848384,NULL,NULL,
47,01/11/2013,106.73,0.07000000000000739,NULL,NULL,64.62,-0.35999999999999943,NULL,NULL,-0.2899999999999636,NULL,NULL,0,NULL,NULL,-0.5540166204986141,NULL,NULL,-0.16895828478208091,NULL,NULL,
48,01/12/2013,107.11,0.37999999999999545,0.9899999999999949,3.760000000000005,64.43,-0.18999999999999773,-0.8399999999999892,0.39000000000000057,0.18999999999999773,1.3799999999999955,2.920000000000016,0,0,3,-0.2940266171463908,0.60899437851343,-1.2869618507736929,0.11088415523781599,0.8110014104372327,1.7317044241489836,
49,01/01/2014,106.93,-0.1799999999999926,NULL,NULL,64.82,0.38999999999998636,NULL,NULL,0.20999999999997954,NULL,NULL,0,NULL,NULL,0.6053080862951828,NULL,NULL,0.12242042672261835,NULL,NULL,
50,01/02/2014,108.11,1.1799999999999926,NULL,NULL,65.56,0.7400000000000091,NULL,NULL,1.920000000000016,NULL,NULL,1,NULL,NULL,1.1416229558778297,NULL,NULL,1.1179039301310136,NULL,NULL,
51,01/03/2014,108.45,0.3400000000000034,1.3400000000000034,NULL,65.60,0.03999999999999204,NULL,1.1699999999999875,0.37999999999999545,2.509999999999991,NULL,0,1,NULL,0.061012812690652896,1.8159242588855928,NULL,0.21880578107905535,1.463215576541909,NULL,
52,01/04/2014,108.47,0.01999999999999602,NULL,NULL,66.08,0.480000000000004,NULL,NULL,0.5,NULL,NULL,0,NULL,NULL,0.7317073170731768,NULL,NULL,0.28727377190462505,NULL,NULL,
53,01/05/2014,109.45,0.980000000000004,NULL,NULL,68.18,2.1000000000000085,NULL,NULL,3.079999999999984,NULL,NULL,0,NULL,NULL,3.177966101694928,NULL,NULL,1.7645373818390053,NULL,NULL,
54,01/06/2014,110.34,0.8900000000000006,1.8900000000000006,NULL,66.29,-1.8900000000000006,NULL,0.6900000000000119,-1,2.579999999999984,NULL,0,1,NULL,-2.772073921971253,1.0518292682927013,NULL,-0.5629679671226707,1.4823326630278564,NULL,
55,01/07/2014,109.59,-0.75,NULL,NULL,65.89,-0.4000000000000057,NULL,NULL,-1.1499999999999773,NULL,NULL,0,NULL,NULL,-0.6034092623321853,NULL,NULL,-0.6510785257317427,NULL,NULL,
56,01/08/2014,109.22,-0.37000000000000455,NULL,NULL,66.72,0.8299999999999983,NULL,NULL,0.45999999999997954,NULL,NULL,0,NULL,NULL,1.2596752162695375,NULL,NULL,0.2621381354000339,NULL,NULL,
57,01/09/2014,107.34,-1.8799999999999955,-3,NULL,65.21,-1.5100000000000051,NULL,-1.0800000000000125,-3.3899999999999864,-4.079999999999984,NULL,-1,-2,NULL,-2.263189448441255,-1.629205008296896,NULL,-1.9267932249630477,-2.309913378248307,NULL,
58,01/10/2014,107.00,-0.3400000000000034,NULL,NULL,64.77,-0.4399999999999977,NULL,NULL,-0.7800000000000296,NULL,NULL,0,NULL,NULL,-0.6747431375555862,NULL,NULL,-0.45204288611998233,NULL,NULL,
59,01/11/2014,106.42,-0.5799999999999983,NULL,NULL,63.69,-1.0799999999999983,NULL,NULL,-1.6599999999999682,NULL,NULL,0,NULL,NULL,-1.6674386289949026,NULL,NULL,-0.9664085695988638,NULL,NULL,
